"","SampleID","16S COPIES/G","Treatment","Time_point","genus","color_label_group","count_relative","count_absolute","log_count.absolute"
"486","2-A-4",512262980.105563,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.0811726602242523,41581748.8295718,17.5431718989029
"487","2-A-4",512262980.105563,"Fludarabine","7d","Akkermansia","g__Akkermansia",0.0585626023129324,29999453.1835597,17.2166897122456
"488","2-A-4",512262980.105563,"Fludarabine","7d","Akkermansia","g__Akkermansia",0.0564239319850029,28903891.5479112,17.1794867996545
"489","2-A-4",512262980.105563,"Fludarabine","7d","Ruminiclostridium","o__Clostridiales",0.0282779743359561,14485759.4046855,16.4886766147831
"490","2-A-4",512262980.105563,"Fludarabine","7d","Ruminiclostridium","o__Clostridiales",0.0260952984457235,13367655.3485504,16.408348567099
"491","2-A-4",512262980.105563,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.00823784126313566,4219941.11509045,15.2553317321448
"492","2-A-4",512262980.105563,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.00803541567654151,4116245.98085211,15.2304521362622
"493","2-A-4",512262980.105563,"Fludarabine","7d","Alistipes","p__Bacteroidetes",0.00511344633961733,2619429.26054226,14.7784670125191
"494","2-A-4",512262980.105563,"Fludarabine","7d","Anaerostipes","f__Lachnospiraceae",0.00510464522715671,2614920.77644493,14.7767443592077
"495","2-A-4",512262980.105563,"Fludarabine","7d","Murimonas","f__Lachnospiraceae",0.00505183855239302,2587869.87186102,14.7663456519868
"496","2-A-4",512262980.105563,"Fludarabine","7d","Alistipes","p__Bacteroidetes",0.00484941296579888,2484174.73762269,14.7254510648201
"497","2-A-4",512262980.105563,"Fludarabine","7d","Alistipes","p__Bacteroidetes",0.00477020295365334,2443598.38074682,14.7089822571069
"498","2-A-4",512262980.105563,"Fludarabine","7d","Murimonas","f__Lachnospiraceae",0.00455017514213797,2330886.27831385,14.6617591301756
"499","2-A-4",512262980.105563,"Fludarabine","7d","Enterocloster","f__Lachnospiraceae",0.00434774955554382,2227191.14407551,14.6162517728551
"500","2-A-4",512262980.105563,"Fludarabine","7d","Alistipes","p__Bacteroidetes",0.00431254510570136,2209157.20768624,14.6081216467719
"501","2-B-4",126922231.209976,"Fludarabine","7d","Akkermansia","g__Akkermansia",0.0944362661074029,11986061.6014906,16.2992549994406
"502","2-B-4",126922231.209976,"Fludarabine","7d","Akkermansia","g__Akkermansia",0.0783439875778903,9943593.7052725,16.1124390530588
"503","2-B-4",126922231.209976,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.0507874730282926,6446059.39426739,15.6789795554428
"504","2-B-4",126922231.209976,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.0455544576418157,5781873.4054596,15.5702383067251
"505","2-B-4",126922231.209976,"Fludarabine","7d","Olsenella","p__Actinobacteria",0.0424489302062958,5387712.93425962,15.4996315363736
"506","2-B-4",126922231.209976,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.0404525197120329,5134324.05991676,15.451458758779
"507","2-B-4",126922231.209976,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.0354614934763758,4500851.87405963,15.3197772421711
"508","2-B-4",126922231.209976,"Fludarabine","7d","Olsenella","p__Actinobacteria",0.0318316562140797,4040144.8297999,15.2117910982551
"509","2-B-4",126922231.209976,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.0266994696404445,3388756.25888824,15.0359735267541
"510","2-B-4",126922231.209976,"Fludarabine","7d","Enterocloster","f__Lachnospiraceae",0.0261549940511,3319650.20224927,15.0153699745735
"511","2-B-4",126922231.209976,"Fludarabine","7d","Clostridium","o__Clostridiales",0.0217185262860715,2756563.81482071,14.8294954674135
"512","2-B-4",126922231.209976,"Fludarabine","7d","Enterocloster","f__Lachnospiraceae",0.0213555425598419,2710493.11039474,14.8126411358585
"513","2-B-4",126922231.209976,"Fludarabine","7d","Marvinbryantia","f__Lachnospiraceae",0.0213454596785577,2709213.36860513,14.812168880832
"514","2-B-4",126922231.209976,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.0201254310431749,2554364.61206228,14.7533140665686
"515","2-B-4",126922231.209976,"Fludarabine","7d","Marvinbryantia","f__Lachnospiraceae",0.0161225271733651,2046307.12158697,14.5315473225311
"516","2-B-4",126922231.209976,"Fludarabine","7d","Clostridium","o__Clostridiales",0.0160821956482284,2041188.15442852,14.5290426249161
"517","2-B-4",126922231.209976,"Fludarabine","7d","Ruminiclostridium","o__Clostridiales",0.0138639617657142,1759644.96071425,14.3806226197978
"518","2-B-4",126922231.209976,"Fludarabine","7d","Sangeribacter","p__Bacteroidetes",0.013591723971042,1725091.93239477,14.3607909011694
"519","2-B-4",126922231.209976,"Fludarabine","7d","Ruminiclostridium","o__Clostridiales",0.0110609207687189,1403876.74320257,14.1547480699724
"520","2-B-4",126922231.209976,"Fludarabine","7d","Sangeribacter","p__Bacteroidetes",0.0108390973804674,1375722.42383113,14.1344895502589
"521","2-C-4",42636298.7012987,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.0953002268584692,4063248.93863922,15.2174934427556
"522","2-C-4",42636298.7012987,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.0827377752134174,3527632.49788017,15.0761375234155
"523","2-C-4",42636298.7012987,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.0499416462319202,2129326.94637874,14.5713165001354
"524","2-C-4",42636298.7012987,"Fludarabine","7d","Clostridium","o__Clostridiales",0.0434178260926579,1851175.4022476,14.4313313478698
"525","2-C-4",42636298.7012987,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.0420671658427202,1793588.24838729,14.3997287793089
"526","2-C-4",42636298.7012987,"Fludarabine","7d","Clostridium","o__Clostridiales",0.0357990532265044,1526339.12658893,14.2383826985015
"527","2-C-4",42636298.7012987,"Fludarabine","7d","Anaerobacterium","o__Clostridiales",0.0249544316080725,1063964.59996291,13.8775126776187
"528","2-C-4",42636298.7012987,"Fludarabine","7d","Clostridium","o__Clostridiales",0.0244626863714447,1042998.40316911,13.8576102029838
